annualinc,applytype,collections,delinq,inq,openacc,dti,pubrec,homeowner,term,vstatus,lstatus
69.0,INDIVIDUAL,0,0,0,22,13.78,0,MORTGAGE,36 months,Source Verified,On Time
56.0,INDIVIDUAL,0,0,0,13,23.7,0,MORTGAGE,36 months,Source Verified,On Time
72.0,INDIVIDUAL,0,0,0,7,16.98,1,MORTGAGE,36 months,Not Verified,On Time
35.0,INDIVIDUAL,0,0,1,8,17.66,1,RENT,36 months,Verified,On Time
105.505,INDIVIDUAL,0,0,1,11,22.13,0,MORTGAGE,36 months,Verified,On Time
446.0,INDIVIDUAL,0,0,0,10,1.88,0,MORTGAGE,60 months,Source Verified,On Time
75.0,INDIVIDUAL,0,0,0,11,20.98,0,OWN,36 months,Source Verified,On Time
38.4,INDIVIDUAL,0,0,0,6,24.13,0,MORTGAGE,60 months,Source Verified,On Time
48.0,INDIVIDUAL,0,0,0,9,16.88,0,RENT,36 months,Not Verified,On Time
45.0,INDIVIDUAL,0,0,0,12,20.75,0,RENT,36 months,Not Verified,On Time
30.0,INDIVIDUAL,0,0,1,9,22.32,0,MORTGAGE,36 months,Source Verified,Risky
135.0,INDIVIDUAL,0,0,0,7,4.81,0,MORTGAGE,36 months,Verified,On Time
55.0,INDIVIDUAL,0,2,2,13,20.99,0,MORTGAGE,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,1,0,11,15.05,0,MORTGAGE,36 months,Source Verified,On Time
112.0,INDIVIDUAL,0,0,0,7,5.46,0,RENT,60 months,Source Verified,On Time
30.0,INDIVIDUAL,0,0,0,10,13.6,0,MORTGAGE,36 months,Not Verified,On Time
36.0,INDIVIDUAL,0,0,0,14,20.57,1,MORTGAGE,60 months,Source Verified,Risky
37.0,INDIVIDUAL,0,0,1,9,13.66,0,MORTGAGE,36 months,Not Verified,On Time
33.0,INDIVIDUAL,0,0,1,8,18.25,0,RENT,60 months,Source Verified,On Time
73.5,INDIVIDUAL,0,0,1,16,19.78,0,MORTGAGE,60 months,Verified,On Time
60.0,INDIVIDUAL,0,0,0,10,17.6,0,RENT,36 months,Source Verified,On Time
100.0,INDIVIDUAL,0,0,2,23,26.18,0,MORTGAGE,60 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,11,30.96,0,RENT,60 months,Source Verified,On Time
58.4,INDIVIDUAL,0,0,0,12,19.65,0,MORTGAGE,36 months,Source Verified,On Time
85.0,INDIVIDUAL,0,0,3,13,21.95,0,RENT,36 months,Not Verified,On Time
60.0,INDIVIDUAL,0,0,0,9,22.08,0,MORTGAGE,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,1,8,18.04,0,MORTGAGE,36 months,Source Verified,On Time
87.0,INDIVIDUAL,0,0,2,5,13.95,0,RENT,36 months,Verified,On Time
50.0,INDIVIDUAL,0,0,3,12,13.42,0,MORTGAGE,36 months,Not Verified,On Time
100.0,INDIVIDUAL,0,1,0,15,17.83,1,RENT,60 months,Verified,On Time
46.5,INDIVIDUAL,0,0,1,15,14.68,0,RENT,60 months,Source Verified,On Time
155.0,INDIVIDUAL,0,0,1,19,19.5,0,MORTGAGE,36 months,Verified,On Time
67.211,INDIVIDUAL,0,0,0,14,14.52,0,MORTGAGE,60 months,Source Verified,On Time
48.0,INDIVIDUAL,0,0,0,4,5.03,0,RENT,36 months,Source Verified,Risky
37.0,INDIVIDUAL,0,1,0,23,26.13,0,OWN,36 months,Verified,On Time
80.0,INDIVIDUAL,0,0,1,6,9.23,0,RENT,36 months,Not Verified,On Time
130.0,INDIVIDUAL,0,1,0,5,1.03,0,MORTGAGE,60 months,Verified,Risky
40.0,INDIVIDUAL,0,0,0,5,7.56,0,RENT,36 months,Source Verified,Risky
58.0,INDIVIDUAL,0,0,0,15,19.72,0,MORTGAGE,60 months,Verified,On Time
62.0,INDIVIDUAL,0,0,1,5,21.68,1,RENT,36 months,Source Verified,On Time
84.0,INDIVIDUAL,0,0,0,13,26.5,0,RENT,36 months,Verified,On Time
58.656,INDIVIDUAL,0,0,0,6,19.52,0,MORTGAGE,60 months,Verified,On Time
58.0,INDIVIDUAL,0,3,0,18,6.6,0,RENT,36 months,Source Verified,On Time
180.0,INDIVIDUAL,0,0,0,9,13.0,0,MORTGAGE,60 months,Not Verified,On Time
70.0,INDIVIDUAL,0,0,0,24,19.84,0,OWN,36 months,Source Verified,On Time
18.5,INDIVIDUAL,0,0,0,14,7.2,0,RENT,36 months,Source Verified,On Time
72.0,INDIVIDUAL,0,0,0,6,19.63,0,RENT,36 months,Source Verified,On Time
55.062,INDIVIDUAL,0,0,0,4,9.51,3,RENT,36 months,Source Verified,On Time
150.0,INDIVIDUAL,0,0,0,14,17.14,0,RENT,60 months,Source Verified,On Time
95.0,INDIVIDUAL,0,0,1,12,11.38,0,OWN,60 months,Source Verified,On Time
40.0,INDIVIDUAL,0,0,0,14,20.67,0,RENT,36 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,1,14,13.27,0,MORTGAGE,36 months,Source Verified,On Time
100.0,INDIVIDUAL,0,0,0,9,11.37,0,RENT,36 months,Source Verified,On Time
90.0,INDIVIDUAL,0,0,0,9,8.07,0,RENT,60 months,Source Verified,On Time
45.0,INDIVIDUAL,0,0,1,11,37.97,0,MORTGAGE,60 months,Source Verified,On Time
53.0,INDIVIDUAL,1,1,0,6,1.49,0,RENT,36 months,Verified,On Time
77.306,INDIVIDUAL,0,0,0,13,34.45,0,RENT,60 months,Not Verified,On Time
35.0,INDIVIDUAL,0,0,0,7,7.02,0,MORTGAGE,36 months,Not Verified,On Time
110.5,INDIVIDUAL,0,0,0,8,0.55,0,MORTGAGE,60 months,Not Verified,On Time
97.3452,INDIVIDUAL,0,0,0,13,5.42,0,RENT,60 months,Verified,On Time
35.0,INDIVIDUAL,0,0,1,21,13.12,0,MORTGAGE,36 months,Not Verified,On Time
62.0,INDIVIDUAL,0,0,0,3,8.09,0,MORTGAGE,36 months,Not Verified,On Time
32.0,INDIVIDUAL,0,0,1,8,14.59,1,RENT,36 months,Not Verified,On Time
65.0,INDIVIDUAL,0,0,0,12,39.6,0,MORTGAGE,36 months,Verified,On Time
36.0,INDIVIDUAL,0,0,0,12,31.23,1,RENT,60 months,Not Verified,On Time
34.0,INDIVIDUAL,0,0,0,10,20.75,0,MORTGAGE,36 months,Verified,On Time
79.0,INDIVIDUAL,0,2,3,19,16.91,0,MORTGAGE,60 months,Verified,On Time
100.0,INDIVIDUAL,0,0,1,15,24.72,0,MORTGAGE,36 months,Source Verified,On Time
56.0,INDIVIDUAL,0,0,0,10,9.32,1,OWN,36 months,Not Verified,On Time
105.6875,INDIVIDUAL,0,0,1,13,13.07,0,MORTGAGE,60 months,Verified,On Time
95.0,INDIVIDUAL,0,0,0,16,18.42,0,MORTGAGE,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,1,11,4.25,0,MORTGAGE,36 months,Verified,On Time
62.5,INDIVIDUAL,0,0,0,15,28.26,0,OWN,36 months,Verified,On Time
85.0,INDIVIDUAL,0,0,0,8,23.78,0,MORTGAGE,60 months,Source Verified,On Time
45.0,INDIVIDUAL,0,0,0,6,8.53,0,MORTGAGE,36 months,Not Verified,Risky
69.0,INDIVIDUAL,0,0,0,7,5.81,0,RENT,60 months,Not Verified,On Time
45.0,INDIVIDUAL,0,0,1,17,23.57,0,RENT,36 months,Not Verified,On Time
60.0,INDIVIDUAL,0,0,0,5,15.08,0,RENT,60 months,Source Verified,On Time
60.0,INDIVIDUAL,0,0,2,7,15.82,0,RENT,60 months,Source Verified,On Time
78.0,INDIVIDUAL,0,0,1,18,20.79,0,MORTGAGE,36 months,Source Verified,On Time
40.99992,INDIVIDUAL,0,0,0,5,12.44,0,MORTGAGE,36 months,Source Verified,On Time
79.0,INDIVIDUAL,0,0,0,12,13.57,0,MORTGAGE,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,0,9,8.6,0,RENT,36 months,Not Verified,On Time
140.0,INDIVIDUAL,0,0,2,10,18.08,0,MORTGAGE,60 months,Not Verified,On Time
65.0,INDIVIDUAL,0,0,0,18,33.21,0,RENT,60 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,8,5.24,0,MORTGAGE,36 months,Not Verified,On Time
36.0,INDIVIDUAL,0,1,0,9,16.33,1,OWN,36 months,Verified,On Time
51.0,INDIVIDUAL,0,0,1,16,38.52,0,MORTGAGE,36 months,Source Verified,On Time
88.4,INDIVIDUAL,0,0,0,10,24.11,0,MORTGAGE,60 months,Source Verified,On Time
56.0,INDIVIDUAL,0,0,0,6,15.43,0,RENT,60 months,Verified,On Time
53.0,INDIVIDUAL,0,0,0,11,11.05,0,RENT,36 months,Source Verified,On Time
48.0,INDIVIDUAL,0,2,1,4,1.15,0,MORTGAGE,36 months,Source Verified,On Time
76.24,INDIVIDUAL,0,0,1,10,3.49,0,RENT,36 months,Source Verified,On Time
66.0,INDIVIDUAL,0,0,1,7,11.31,0,RENT,36 months,Source Verified,On Time
68.0,INDIVIDUAL,0,1,1,12,11.88,0,RENT,36 months,Source Verified,On Time
69.0,INDIVIDUAL,0,0,0,13,29.23,0,MORTGAGE,36 months,Verified,On Time
83.0,INDIVIDUAL,0,2,2,7,12.38,0,RENT,36 months,Source Verified,On Time
96.0,INDIVIDUAL,0,0,0,17,29.31,0,MORTGAGE,36 months,Source Verified,On Time
68.0,INDIVIDUAL,0,0,1,13,15.23,2,RENT,36 months,Source Verified,On Time
55.0,INDIVIDUAL,1,0,1,25,17.98,0,RENT,36 months,Not Verified,On Time
82.0,INDIVIDUAL,0,1,4,30,28.26,0,MORTGAGE,36 months,Verified,On Time
38.0,INDIVIDUAL,0,0,2,11,7.3,0,MORTGAGE,36 months,Not Verified,On Time
75.0,INDIVIDUAL,0,0,0,19,21.79,0,RENT,60 months,Not Verified,On Time
67.0,INDIVIDUAL,0,0,0,6,7.08,0,MORTGAGE,36 months,Source Verified,On Time
53.0,INDIVIDUAL,0,0,2,10,23.23,0,MORTGAGE,60 months,Source Verified,On Time
638.0,INDIVIDUAL,0,0,2,20,21.42,0,MORTGAGE,36 months,Source Verified,On Time
45.5,INDIVIDUAL,0,1,0,6,18.36,0,MORTGAGE,60 months,Not Verified,On Time
69.0,INDIVIDUAL,0,0,0,13,21.55,0,RENT,36 months,Not Verified,On Time
100.0,INDIVIDUAL,0,0,0,17,17.4,0,RENT,60 months,Source Verified,On Time
120.0,INDIVIDUAL,0,0,1,11,15.54,1,MORTGAGE,36 months,Source Verified,On Time
135.0,INDIVIDUAL,0,1,2,14,14.51,0,MORTGAGE,60 months,Verified,On Time
112.0,INDIVIDUAL,0,0,0,8,16.66,0,MORTGAGE,36 months,Verified,On Time
44.0,INDIVIDUAL,0,0,1,10,27.5,0,MORTGAGE,36 months,Verified,On Time
69.0,INDIVIDUAL,0,0,0,24,34.47,0,RENT,60 months,Source Verified,On Time
130.0,INDIVIDUAL,0,0,2,18,15.73,0,MORTGAGE,36 months,Not Verified,Risky
100.0,INDIVIDUAL,0,0,0,11,3.1,0,MORTGAGE,36 months,Source Verified,On Time
106.0,INDIVIDUAL,0,0,0,12,18.07,0,RENT,36 months,Source Verified,On Time
39.0,INDIVIDUAL,0,0,1,16,29.97,0,RENT,36 months,Verified,On Time
50.5,INDIVIDUAL,0,0,0,20,24.76,0,RENT,36 months,Not Verified,On Time
41.6,INDIVIDUAL,0,0,1,11,27.51,0,RENT,60 months,Source Verified,Risky
32.0,INDIVIDUAL,0,0,0,19,30.05,1,RENT,60 months,Source Verified,On Time
110.0,INDIVIDUAL,0,1,1,11,13.41,0,RENT,60 months,Source Verified,On Time
75.0,INDIVIDUAL,0,0,0,14,28.85,0,RENT,36 months,Source Verified,On Time
31.0,INDIVIDUAL,0,0,0,10,24.51,0,MORTGAGE,36 months,Source Verified,On Time
98.0,INDIVIDUAL,0,1,0,11,28.45,0,MORTGAGE,36 months,Verified,On Time
75.0,INDIVIDUAL,0,1,1,6,19.94,0,MORTGAGE,36 months,Verified,On Time
35.0,INDIVIDUAL,0,0,0,8,17.63,1,OWN,36 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,1,11,27.99,0,RENT,36 months,Source Verified,On Time
120.0,INDIVIDUAL,0,0,0,7,3.42,1,RENT,36 months,Source Verified,On Time
72.83,INDIVIDUAL,0,0,0,13,26.08,0,MORTGAGE,36 months,Verified,On Time
70.0,INDIVIDUAL,0,0,0,5,4.1,0,RENT,60 months,Not Verified,Risky
40.0,INDIVIDUAL,0,0,0,15,20.39,1,OWN,36 months,Verified,On Time
70.0,INDIVIDUAL,0,0,0,8,24.96,0,RENT,60 months,Source Verified,On Time
133.0,INDIVIDUAL,0,3,1,14,23.38,0,MORTGAGE,36 months,Not Verified,On Time
130.0,INDIVIDUAL,0,2,2,10,8.32,0,RENT,36 months,Verified,On Time
180.0,INDIVIDUAL,0,2,0,10,0.73,0,OWN,36 months,Source Verified,On Time
69.5,INDIVIDUAL,0,2,1,18,29.68,0,MORTGAGE,60 months,Not Verified,On Time
28.08,INDIVIDUAL,0,0,6,9,24.57,0,RENT,60 months,Source Verified,Risky
104.0,INDIVIDUAL,0,0,0,12,22.07,0,MORTGAGE,60 months,Verified,On Time
52.0,INDIVIDUAL,0,0,0,15,8.79,0,RENT,36 months,Verified,On Time
75.0,INDIVIDUAL,0,0,0,8,7.84,0,RENT,36 months,Source Verified,On Time
78.0,INDIVIDUAL,0,2,0,17,23.68,0,MORTGAGE,36 months,Source Verified,On Time
32.088,INDIVIDUAL,0,0,0,6,21.77,0,RENT,60 months,Not Verified,On Time
30.0,INDIVIDUAL,0,0,2,16,31.6,0,MORTGAGE,36 months,Verified,On Time
48.0,INDIVIDUAL,0,0,0,11,30.88,0,MORTGAGE,60 months,Source Verified,On Time
107.0,INDIVIDUAL,0,0,0,7,20.77,0,RENT,36 months,Verified,On Time
40.0,INDIVIDUAL,0,2,1,7,18.48,1,OWN,36 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,16,27.84,0,RENT,60 months,Source Verified,On Time
53.0,INDIVIDUAL,0,1,2,11,31.54,0,RENT,60 months,Verified,Risky
40.0,INDIVIDUAL,0,0,0,5,7.95,0,RENT,36 months,Verified,On Time
60.0,INDIVIDUAL,0,0,2,22,25.52,0,MORTGAGE,60 months,Verified,On Time
72.312,INDIVIDUAL,0,0,1,18,16.81,0,RENT,60 months,Source Verified,On Time
32.39806,INDIVIDUAL,0,0,1,7,22.79,2,RENT,36 months,Source Verified,On Time
111.4,INDIVIDUAL,0,0,1,7,9.45,0,MORTGAGE,36 months,Not Verified,On Time
25.0,INDIVIDUAL,0,0,0,11,12.87,0,RENT,36 months,Not Verified,On Time
87.0,INDIVIDUAL,0,0,2,15,18.61,0,RENT,36 months,Source Verified,On Time
39.0,INDIVIDUAL,0,0,1,5,18.98,0,RENT,36 months,Not Verified,Risky
152.0,INDIVIDUAL,0,0,1,22,23.65,0,MORTGAGE,36 months,Verified,On Time
132.5,INDIVIDUAL,0,0,0,10,11.04,0,RENT,36 months,Not Verified,On Time
30.0,INDIVIDUAL,0,0,2,14,15.57,0,MORTGAGE,36 months,Verified,On Time
90.0,INDIVIDUAL,0,0,0,20,21.72,0,OWN,60 months,Verified,On Time
62.0,INDIVIDUAL,0,1,0,17,11.52,0,MORTGAGE,60 months,Source Verified,On Time
110.0,INDIVIDUAL,0,0,0,14,26.53,0,MORTGAGE,60 months,Verified,On Time
126.5,INDIVIDUAL,0,1,2,12,17.03,0,RENT,36 months,Verified,On Time
50.0,INDIVIDUAL,0,0,1,20,35.55,0,MORTGAGE,36 months,Source Verified,On Time
39.0,INDIVIDUAL,0,0,2,20,29.91,2,RENT,60 months,Source Verified,On Time
56.16,INDIVIDUAL,0,0,0,10,19.47,0,RENT,60 months,Not Verified,On Time
112.0,INDIVIDUAL,0,1,1,5,6.98,0,RENT,60 months,Source Verified,On Time
103.0,INDIVIDUAL,0,0,0,9,0.82,0,MORTGAGE,36 months,Verified,On Time
25.3,INDIVIDUAL,0,0,0,5,15.58,0,OWN,36 months,Verified,On Time
36.0,INDIVIDUAL,0,0,0,11,19.3,0,MORTGAGE,60 months,Verified,Risky
28.0,INDIVIDUAL,0,0,0,14,17.35,0,RENT,36 months,Not Verified,Risky
33.0,INDIVIDUAL,0,0,0,11,15.16,0,RENT,36 months,Verified,On Time
40.0,INDIVIDUAL,0,0,0,6,3.33,1,RENT,36 months,Source Verified,On Time
25.0,INDIVIDUAL,0,0,1,3,17.95,0,OWN,60 months,Source Verified,On Time
31.0,INDIVIDUAL,0,0,1,8,15.64,1,OWN,36 months,Source Verified,On Time
63.0,INDIVIDUAL,0,0,0,14,35.91,0,RENT,36 months,Verified,On Time
55.0,INDIVIDUAL,0,0,0,11,9.71,1,RENT,36 months,Verified,On Time
103.0,INDIVIDUAL,0,0,3,11,24.24,0,RENT,60 months,Verified,Risky
74.0,INDIVIDUAL,0,0,0,18,15.57,0,RENT,36 months,Not Verified,On Time
57.11,INDIVIDUAL,0,0,1,11,19.63,0,MORTGAGE,60 months,Verified,On Time
105.0,INDIVIDUAL,0,0,0,16,15.5,0,RENT,36 months,Not Verified,On Time
78.0,INDIVIDUAL,0,0,0,7,12.16,0,MORTGAGE,36 months,Source Verified,On Time
135.0,INDIVIDUAL,0,0,0,8,9.56,1,MORTGAGE,60 months,Not Verified,On Time
109.0,INDIVIDUAL,0,0,1,23,22.68,0,MORTGAGE,36 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,2,18,38.95,0,MORTGAGE,60 months,Not Verified,On Time
67.0,INDIVIDUAL,0,3,0,7,26.92,0,MORTGAGE,36 months,Verified,Risky
27.0,INDIVIDUAL,0,0,0,11,24.13,1,RENT,60 months,Verified,On Time
105.0,INDIVIDUAL,0,0,3,20,12.1,0,MORTGAGE,36 months,Verified,On Time
60.0,INDIVIDUAL,0,0,1,12,32.04,0,OWN,36 months,Verified,On Time
129.695,INDIVIDUAL,0,1,2,14,13.49,0,MORTGAGE,36 months,Verified,On Time
75.0,INDIVIDUAL,0,0,0,11,13.19,0,MORTGAGE,36 months,Not Verified,On Time
130.4,INDIVIDUAL,0,1,2,13,10.45,0,MORTGAGE,36 months,Source Verified,On Time
58.0,INDIVIDUAL,0,0,0,7,15.64,0,RENT,36 months,Verified,On Time
65.0,INDIVIDUAL,0,0,0,7,14.55,0,RENT,60 months,Verified,On Time
36.0,INDIVIDUAL,0,0,1,7,20.5,0,RENT,36 months,Verified,On Time
60.0,INDIVIDUAL,0,1,1,14,27.78,0,RENT,36 months,Verified,On Time
115.0,INDIVIDUAL,0,0,0,16,13.36,0,MORTGAGE,60 months,Source Verified,On Time
30.0,INDIVIDUAL,0,0,1,7,8.56,0,RENT,36 months,Not Verified,On Time
60.0,INDIVIDUAL,0,0,0,12,24.46,0,RENT,36 months,Not Verified,On Time
144.0,INDIVIDUAL,0,0,2,16,21.4,0,MORTGAGE,36 months,Source Verified,On Time
148.0,INDIVIDUAL,0,0,0,12,19.58,1,MORTGAGE,36 months,Verified,On Time
85.0,INDIVIDUAL,0,0,2,10,16.39,0,OWN,60 months,Verified,Risky
91.86,INDIVIDUAL,0,1,2,9,13.81,0,MORTGAGE,36 months,Not Verified,On Time
60.0,INDIVIDUAL,0,0,0,10,12.72,0,RENT,36 months,Not Verified,On Time
98.916,INDIVIDUAL,0,1,0,4,8.9,0,RENT,36 months,Not Verified,On Time
90.0,INDIVIDUAL,0,0,3,9,18.96,1,MORTGAGE,60 months,Not Verified,On Time
40.0,INDIVIDUAL,0,0,0,8,15.9,1,MORTGAGE,36 months,Verified,On Time
86.0,INDIVIDUAL,0,0,0,12,28.62,1,MORTGAGE,36 months,Verified,On Time
100.002,INDIVIDUAL,0,0,0,13,29.34,0,OWN,60 months,Not Verified,On Time
155.0,INDIVIDUAL,0,0,2,16,9.77,0,MORTGAGE,60 months,Source Verified,On Time
50.0,INDIVIDUAL,0,0,0,11,24.22,0,RENT,36 months,Source Verified,On Time
111.0,INDIVIDUAL,0,1,1,7,16.54,0,MORTGAGE,36 months,Source Verified,On Time
30.0,INDIVIDUAL,0,0,0,14,30.24,0,RENT,36 months,Source Verified,On Time
22.0,INDIVIDUAL,0,0,0,9,24.11,0,RENT,36 months,Source Verified,On Time
31.0,INDIVIDUAL,0,1,1,7,20.52,0,RENT,36 months,Not Verified,On Time
46.0,INDIVIDUAL,0,0,4,21,25.05,1,OWN,60 months,Not Verified,On Time
110.0,INDIVIDUAL,0,3,0,9,17.39,0,MORTGAGE,36 months,Source Verified,On Time
62.0,INDIVIDUAL,0,0,0,5,2.11,0,MORTGAGE,60 months,Source Verified,On Time
242.0,INDIVIDUAL,0,3,1,9,4.73,0,MORTGAGE,36 months,Source Verified,On Time
61.377,INDIVIDUAL,0,2,1,9,19.95,2,RENT,36 months,Verified,On Time
132.0,INDIVIDUAL,0,0,0,13,11.01,0,MORTGAGE,36 months,Not Verified,On Time
54.0,INDIVIDUAL,0,0,1,19,21.93,2,RENT,60 months,Not Verified,On Time
63.0,INDIVIDUAL,0,0,0,10,11.7,0,MORTGAGE,60 months,Not Verified,On Time
50.0,INDIVIDUAL,0,0,1,11,17.47,0,RENT,60 months,Source Verified,On Time
50.0,INDIVIDUAL,0,0,1,6,24.82,0,RENT,36 months,Not Verified,On Time
103.0,INDIVIDUAL,0,0,0,17,10.32,0,MORTGAGE,36 months,Verified,On Time
80.0,INDIVIDUAL,0,1,0,10,16.13,0,MORTGAGE,36 months,Verified,On Time
65.0,INDIVIDUAL,0,0,1,19,21.57,2,RENT,36 months,Source Verified,On Time
30.0,INDIVIDUAL,0,0,1,5,5.36,0,RENT,36 months,Not Verified,On Time
75.0,INDIVIDUAL,0,1,0,10,16.1,0,MORTGAGE,36 months,Verified,On Time
